Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Pleese Foods,Plant-based cheese company,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Fava bean,Potato,Coconut",U.S. and Canada,United States,NY,New York,https://www.pleesefoods.com/,2017,"Kobi Regev, Abev Regev",Pleese.webp (https://dl.airtable.com/.attachments/ebf6dc680b2f64ac68abdd14c9304648/44bda564/Pleese.webp)
"Wildwood Harvest Foods (Pulmuone Foods United States, Inc.)","Produces meat alternatives including veggie burgers and meatless crumbles, tofu, vegan mayo, soymilk, and soy creamer. Parent company is Korea-based but there are corporate, sales and food science headquarters in Fullerton, California with manufacturing enterprises in California and New York. ",Plant-based,"Dairy,Meat",End product formulation and manufacturing,Other dairy,,Soy,U.S. and Canada,United States,CA,San Francisco,http://www.wildwoodfoods.com/,2001,,wildwoodfoods-logo.png (https://dl.airtable.com/.attachments/6a4e09468aae586fa807f4a120c54ed1/bc35ca2c/wildwoodfoods-logo.png)
Current Foods ,"Startup working on plant-based fish, starting with akami tuna sashimi",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Other,Fish,"Pea,Algae",U.S. and Canada,United States,CA,San Francisco,https://currentfoods.com,2019,"Jacek Prus, Sonia Hurtado",rxnw8s5xgo3xcih7tfla.png (https://dl.airtable.com/.attachments/bcbdf627189b764b3cc3fa40d8eb78a4/6f1afd8d/rxnw8s5xgo3xcih7tfla.png)
Good Planet Foods,Maker of plant-based cheese shreds and slices,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Potato,Tapioca,Coconut",U.S. and Canada,United States,WA,Bellevue,https://goodplanetfoods.com/,2017,"Sachin Ajith, David Israel",logo (3).png (https://dl.airtable.com/.attachments/1e55ef0694667444e6815ac718c18d61/cb7c1d40/logo3.png)
NexVeg,"Plant-based meat and cheese sauce for foodservice and private label. Made from whole foods ingredients (soy-free, wheat-free, and dairy-free).",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Cheese",,"Hemp,Potato",U.S. and Canada,United States,AZ,Flagstaff,https://realvegetablemeat.com/,2004,Jonathan Netzky,NexVeg.png (https://dl.airtable.com/.attachments/3819153391724a2246152136d0d210c6/a40739d1/NexVeg.png)
Sunflower Family,Maker of ground meat from textured sunflower protein,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Sunflower,Europe,Germany,Bayern,Buchenberg,https://www.sunflowerfamily.us/,2013,"Fabian Breisinger, Nicole Breisinger, Oliver Schnekmann",Screen Shot 2021-02-11 at 1_06_32 PM.png (https://dl.airtable.com/.attachments/ee4765bcf8be940063ace1dd0537dabf/dd6168c3/ScreenShot2021-02-11at1_06_32PM.png)
Geronimo Foods,Maker of a variety of vegetable and grain based plant-based meats and dishes,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal","Beans,Lentils,Blend,Almond,Cashew,Quinoa",Latin America,Brazil,,São Paulo,https://www.geronimofoods.com.br/,2015,Christian de Pietro,Logo.webp (https://dl.airtable.com/.attachments/91d1ebdf72a3072dfef20ed0b925edaa/dfe79005/Logo.webp)
Kim's Simple Meals,"Produces a line of boxed meat alternatives and meals. Heritage Health Foods is Seventh Day Adventist-owned, and Kim's Simple Meals was founded by Adventists. Kim's Simple Meals products are popular in the Adventist community.",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat",Beef/veal,"Oat,Chickpea",U.S. and Canada,United States,TN,Ooltewah,http://www.kimssimplemeals.com/,2015,,ksm-logo-2237x1795.png (https://dl.airtable.com/.attachments/1cca0c160f4f796b2e4d51400ce4a098/b3766fac/ksm-logo-2237x1795.png)
Nana Creme,Produces allergen-friendly banana-based non-dairy ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Other,U.S. and Canada,United States,Il,Lombard,https://nanacreme.com/,2014,Gina Klafeta,NanaCreme.png (https://dl.airtable.com/.attachments/4457fac4539aa63aa1dad04e7de192fe/18f329d1/NanaCreme.png)
Milkadamia,Dairy made from macadamia nuts,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Macadamia,Coconut","U.S. and Canada,Asia Pacific",United States,,,https://milkadamia.com/,2015,,milkadamia_logo_black.png (https://dl.airtable.com/.attachments/5a3bde443cda263d1b6451d269415d6f/86fe2a48/milkadamia_logo_black.png)
Parmela,Produces Cheeses; shredded and slices,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Coconut,Potato",U.S. and Canada,United States,CA,Fontana,http://www.parmelacreamery.com/,2014,"Ryan Salomone, Laurice Do",Parmela.png (https://dl.airtable.com/.attachments/1a59ebd75a3be950a4e58ca402059382/b0b1e6d8/Parmela.png)
The Vegetarian Butcher,"Popular producer of vegetarian and vegan meat products. They've made a commitment to go completely plant-based, but for now their website still features products with egg and dairy",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Pork,Beef/veal,Chicken,Fish,Mutton/lamb","Soy,Wheat",Europe,Netherlands,N/A,The Hague,https://www.thevegetarianbutcher.com/,2010,"Jaap Korteweg, Niko Koffeman",vegetarian-butcher.png (https://dl.airtable.com/.attachments/50d1e9b50aedd8e63d8f8e3bfe82b9b7/d56dd653/vegetarian-butcher.png)
Nancy's,Produces dairy- and oat-based yogurts,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Oat,U.S. and Canada,United States,OR,Eugene,http://nancysyogurt.com/,,,nancys-logo.png (https://dl.airtable.com/.attachments/ee535c03fbf74c78d2520cc76dfea4f6/bbb2754c/nancys-logo.png)
May Wah,"Produces a variety of plant-based meat alternatives and Asian-inspired meals. Sells products online (both wholesale and in smaller quantities) and through a retail location in Chinatown, NYC. ",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,"Beef/veal,Fish",Soy,U.S. and Canada,United States,NY,New York,http://www.maywahnyc.com/,1995,,Screen Shot 2021-01-04 at 11_54_11 AM.png (https://dl.airtable.com/.attachments/e7026c52fec8822bc22e73beb7122da6/ea41e44b/ScreenShot2021-01-04at11_54_11AM.png)
Three Trees,"Produces almond, pistachio, and sesame milks and cold brew coffee. Clean label. ",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Other",U.S. and Canada,United States,CA,San Mateo,http://threetrees.com/,2012,,3T+Logo.png (https://dl.airtable.com/.attachments/6d24a0f856e63746f051dbdfdf15a57b/d20fc6dd/3TLogo.png)
VBites,"Maker of a variety of plant-based meats, dairy, and seafood",Plant-based,"Dairy,Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Ground meat,Cheese",Fish,"Soy,Coconut,Wheat",Europe,United Kingdom,Nottinghamshire,Corby,https://www.vbites.com/,1993,Heather Mills,Capture.JPG (https://dl.airtable.com/.attachments/238170bac19fca9303150ebd1fa841f7/5dbabd34/Capture.JPG)
Mrs. Goldfarb's Unreal Deli,Maker of plant-based clean label deli meat (corned beef),Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Turkey","Wheat,Chickpea,Soy",U.S. and Canada,United States,,,https://www.unrealdeli.com/,2019,,Goldfarb.png (https://dl.airtable.com/.attachments/5e4634e6dc4378162ef5362735365539/de112db0/Goldfarb.png)
Vly Foods,Produces pea-based dairy products,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Pea,Europe,Germany,,Berlin,http://vlyfoods.com/,2018,"Moritz Braunwarth, Nicolas Hartmann, Niklas Katter",vly_logo-header_100x@2x.png (https://dl.airtable.com/.attachments/9daf422086dd6116bf8ef16e8fd11d78/b5e7c6db/vly_logo-header_100x2x.png)
Fazenda Futuro,"Brazil-based company producing plant-based meat products, including a ""Futuro Burger"" patty",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Pork,Tuna","Pea,Chickpea,Soy","Latin America,Europe",Brazil,,Rio de Janeiro,https://fazendafuturo.io/,2019,Marcos Leta,b2yabgbx0rmddxvlncrp.jpg (https://dl.airtable.com/.attachments/20151cd4fedac2aa67df24f523a8e56d/32e52c14/b2yabgbx0rmddxvlncrp.jpg)
Qrunch,Produces quinoa and millet-based veggie burgers and breakfast toastables,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Quinoa,Other",U.S. and Canada,United States,CO,Greenwood Village,http://qrunchfoods.com/,2010,Jim Adams,Screen Shot 2021-01-11 at 2_19_47 PM.png (https://dl.airtable.com/.attachments/01ef807ec94cc47f2e63c5f15a47371b/dc897f9d/ScreenShot2021-01-11at2_19_47PM.png)
Perennial / Willow Cup,Producer of direct to consumer plant based milk,Plant-based,Dairy,End product formulation and manufacturing,Other,,"Pea,Rice,Soy",U.S. and Canada,United States,CA,San Francisco,https://liveperennial.com/,2016,Sarah Bonham,Perennial.png (https://dl.airtable.com/.attachments/fe8fc61c0ff037a0029208bfa9bc8220/b4b50348/Perennial.png)
YoFix Probiotics,Produces plant-based yogurts,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Oat,Africa/Middle East,Israel,,Ashdod,https://www.yofix.co.il/,2015,"
Ronen Lavee",cd261e_0fa732f90adb4c6d9910c2a2bafd2310.webp (https://dl.airtable.com/.attachments/aec46d64da9dd0348c725acd3d594f1d/46d3494b/cd261e_0fa732f90adb4c6d9910c2a2bafd2310.webp)
Delight Soy,Producer of soy-based meat products.,Plant-based,Meat,End product formulation and manufacturing,Other meat,,Soy,U.S. and Canada,United States,NC,Morrisville,https://www.delightsoy.com/,,Lila Chung,Screen Shot 2021-01-22 at 2_02_36 PM.png (https://dl.airtable.com/.attachments/01e073a651eca6b8010e8469cbbdc4aa/dbfb1d09/ScreenShot2021-01-22at2_02_36PM.png)
Dominex,"Produces veggie burgers, plant-based meatballs, and fried eggplant cutlets (all made of eggplant)",Plant-based,Meat,End product formulation and manufacturing,Other,Other,Eggplant,U.S. and Canada,United States,NE,Omaha,http://www.dominexeggplant.com/,2009,,Screen Shot 2021-01-22 at 2_17_49 PM.png (https://dl.airtable.com/.attachments/4b3beee828ed16bf58df6eca55570739/76c64260/ScreenShot2021-01-22at2_17_49PM.png)
Oggs,Maker of Aquafaba egg substitute for baking; vegan bakery,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Other,Europe,United Kingdom,England,London,https://www.loveoggs.com/,2018,Hannah Carter,ynablig83flyhiiretmg.png (https://dl.airtable.com/.attachments/403711c0d8fa1047f1a9aba18e9bf034/36bd5f16/ynablig83flyhiiretmg.png)
"Hungry Planet, Inc","Producers of chef-crafted plant-based meats including beef, chicken, pork, turkey, lamb, crab, chorizo, Italian sausage, and chorizo; all with taste & texture matching conventional meat, and demonstrably superior nutritionals. Available in raw and pre-cooked varieties, as well in a wide range of ready to eat meals.",Plant-based,"Meat,Other,Seafood",End product formulation and manufacturing,"Ground meat,Whole muscle meat,Other meat,Other","Chicken,Beef/veal,Fish,Pork,Mutton/lamb,Turkey,Crab",Soy,"U.S. and Canada,Asia Pacific,Africa/Middle East",United States,MO,St. Louis,hungryplanetfoods.com,2004,Todd Boyman & Jody Boyman (siblings),download (7).png (https://dl.airtable.com/.attachments/aa3213b06f9035342474b07462fe01b2/73bec97f/download7.png)
Punk Rawk Labs,Produces cultured nut-based cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Macadamia",U.S. and Canada,United States,MN,Minneapolis,http://punkrawklabs.net/,2010,Alissa Barthel,PRL.jpg (https://dl.airtable.com/.attachments/06dc823b837ba4a75e389029d797f6ea/75f0cfb1/PRL.jpg)
Air Protein,U.S.-based startup focusing on using a closed loop carbon cycle to create food grade protein,Biomass fermentation,"Ingredients and inputs,Meat","Ingredient optimization,End product formulation and manufacturing","Ground meat,Other meat",Chicken,Soy,U.S. and Canada,United States,CA,Pleasanton,https://www.airprotein.com/,2019,"Lisa Dyson, Dr. John Reed",AirProtein_logoTeal_Trademark.png (https://dl.airtable.com/.attachments/28427a3de2fb27829a3c38f418050a29/db825b6b/AirProtein_logoTeal_Trademark.png)
Wild Earth,Koji-based pet food using fermentation platform and cell-based mouse meat for pet food (part of a larger business),Traditional fermentation,Other,"Target molecule selection,End product formulation and manufacturing",Pet food,,"Yeast,Chickpea,Oat,Pea",U.S. and Canada,United States,CA,Berkeley,https://www.wildearthpets.com/,2017,"Abril Estrada, Kristin Wuhrman, Ron Shigeta, Ryan Bethencourt",logo_head_160x@2x.png (https://dl.airtable.com/.attachments/4aee22291ae98651a926425a87d223be/48837aab/logo_head_160x2x.png)
New Culture,Startup using fermentation to produce animal-free casein for cheese and has started with mozzarella,Precision fermentation,Dairy,Target molecule selection,Cheese,,,U.S. and Canada,United States,CA,San Francisco,https://www.newculturefood.com/,2018,"Inja Radman, Matt Gibson",Screen Shot 2021-01-25 at 5_02_33 PM.png (https://dl.airtable.com/.attachments/8f566a66a48f19c499c7099dab4d580f/3860fbd6/ScreenShot2021-01-25at5_02_33PM.png)
Meati Foods,"Whole muscle meats made from fungi marketing under ""Meati"" brand and selling B2B. Utilizes spent grains from brewing",Biomass fermentation,Meat,"End product formulation and manufacturing,Feedstocks",Whole muscle meat,"Beef/veal,Chicken",Mushrooms,U.S. and Canada,United States,CO,Boulder,https://meati.com/,2016,"Justin Whiteley, Tyler Huggins",Capture.JPG (https://dl.airtable.com/.attachments/f83dd3f4ae17df6077f8abdca03d77b5/8e4db98e/Capture.JPG)
Ennolys,"Develops a wide range of natural aromatic molecules, including the vanillin. Also maker of buttery vanilla flavorings for dairy products from microbes (part of a larger business) ",Fermentation-derived,Dairy,"Ingredient optimization,End product formulation and manufacturing",,,,Europe,France,,Lesaffre,https://ennolys.fr/nos-solutions/ennallin/produits-laitiers/,1992,,logo_ennolys-new.png (https://dl.airtable.com/.attachments/b276a49220511c16fbbb743039b2b399/58de8eb1/logo_ennolys-new.png)
Final Foods,"Provides open source bioreactor and courses on fermentation alt protein production. Current offerings include courses on heme, GFP, and whey protein production",Precision fermentation,"Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,"Yeast,Whey",U.S. and Canada,United States,CA,Santa Clara,https://www.finalfoods.com,2020, ,Screen Shot 2021-01-22 at 1_22_12 PM.png (https://dl.airtable.com/.attachments/fdd56df2c0c801f0c566dab157e433dc/bbfbc8dc/ScreenShot2021-01-22at1_22_12PM.png)
Triton Algae Innovations,"Produces heme and other meat-like compounds from a green algae called Chlamydomonas reinhardti for plant-based meat applications. In addition to ingredients, the startup's first retail product will be a tuna analog. ",Precision fermentation,"Ingredients and inputs,Seafood","Bioprocess design,Target molecule selection,End product formulation and manufacturing",,"Tuna,Fish",Algae,U.S. and Canada,United States,CA,San Diego,https://www.tritonai.com/,2013,"Beth Rasala, Daniel Sachs, Jason Pyle, Miller Tran, Nick Hofmeister, Stephen Mayfield, William Julien",connect-sdvg-san-diego-venture-group-cool-companies-2018-fundraising-program-startup-business-triton-algae-innovations-ltd-logo.png (https://dl.airtable.com/.attachments/872e0463a4005e1f9ffb6f97a5ebbb6e/5786a719/connect-sdvg-san-diego-venture-group-cool-companies-2018-fundraising-program-startup-business-triton-algae-innovations-ltd-logo.png)
The Protein Brewery,"Producer of ""Fermotein"" fungi based protein for human consumption to replace meat",Biomass fermentation,"Meat,Ingredients and inputs",Ingredient optimization,,,Fungi,Europe,Netherlands,,Breda,https://www.theproteinbrewery.nl/,2019,Wim de Laat,download (6).jpg (https://dl.airtable.com/.attachments/2af8d3929b59857237515f110d097b25/a7988b70/download6.jpg)
The EVERY Company,Produces egg proteins using a precision fermentation platform. ,Precision fermentation,"Eggs,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Eggs,Other",,Yeast,U.S. and Canada,United States,CA,San Francisco,https://theeverycompany.com/,2014,"Arturo Elizondo, David Anchel",logo-horiz.png (https://dl.airtable.com/.attachments/c46af6dc78b8adc724eaf89fb29755ad/ab052347/logo-horiz.png)
Fumi Ingredients,Produces an egg replacement ingredient with microbial fermentation. ,Precision fermentation,Eggs,Host strain development,Eggs,,,Europe,Netherlands,,Wageningen,https://www.fumiingredients.com/,2019,"Edgar Suarez Garcia, Corjan Van den Berg",400dpiLogoCropped_namegreen final_edited.webp (https://dl.airtable.com/.attachments/2a1c899b0e30df2865c7ca174d88d9b3/8a0b4232/400dpiLogoCropped_namegreenfinal_edited.webp)
Mushlabs,Produces food from edible mushroom mycelia.,Biomass fermentation,Meat,End product formulation and manufacturing,,,,Europe,Germany,,Berlin,https://www.mushlabs.com/,2018,Mazen Rizk,Capture.JPG (https://dl.airtable.com/.attachments/cd81a7dd6b65215a6cabd791a896e718/8a2be4d0/Capture.JPG)
Formo,Startup working on producing milk proteins for dairy products with microbes,Precision fermentation,Dairy,"Target molecule selection,End product formulation and manufacturing","Milk,Cheese",,,Europe,Germany,,Berlin,https://formo.bio/articles/meet-formo,2018,Raffael Wohlgensinger,logo-legendairy@2x.png (https://dl.airtable.com/.attachments/1247334cbd36b98baae715f26a620565/8c0c5e91/logo-legendairy2x.png)
Novacca,Produces milk proteins using fermentation platform.,Precision fermentation,"Dairy,Ingredients and inputs",Target molecule selection,,,,Europe,Denmark,,Nivå,https://www.linkedin.com/company/novacca/about/,2018,,1544426117123.png (https://dl.airtable.com/.attachments/c3cd63f4bb60c0af222190397ddcb3e4/c882e930/1544426117123.png)
