name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Biospringer AM Corporation,"BIOSPRINGER, AN EXPERT IN TASTE.
Founded in 1872 in Paris, France, Biospringer is a historical key player and global producer of yeast extract and derived ingredients from yeast.
Biospringer aims to bring taste and pleasure by providing a unique range of yeast extracts and derived yeast products, from dried yeast to natural flavors and more, to the food and beverage industry.
With our product range and our dedicated teams of technical and scientific experts, we support our customers in the development of flavorful recipes and solve specific developments challenges: taste improvement, formulation of healthy and nutritionally balanced recipes, off-note masking.
Biospringer also benefits from the expertise of its parent company: Lesaffre Group, number-one producer of active yeast worldwide and expert in fermentation. Lesaffre Group designs and manufactures innovative solutions for Baking, Food Taste & pleasure, Health Care and Biotechnologies.",biospringer.com,Food and beverages,France,1872,Ingredients & inputs,Fermentation,Yeast,Ingredient optimization,"Cheese, Dairy, Meat & fish, Minced/Ground meat","Beef, Chicken, Fish, Pork, Poultry"
Schouten Food,"Benefit from years of experience?
Since 1990, we are entirely focused on the development, production and packaging of plant-based products. These days our family business is leading in this market and operates worldwide. In these years our enthusiasm has never waned.
Want to introduce successful plant-based products?
Would you like to add our successful plant-based products to your assortment? Would you rather choose your own packaging? Or do you have a promising idea for a new plant-based product? At Schouten, you choose what your collaboration looks like and we always have the right products or services at your disposal.",schoutenfood.com,Food and beverages,Netherlands,2002,"Contract manufacturing, End-consumer brands & products, Ingredients & inputs",Plant-based,"Cereals, Nuts, Oilseeds, Other seeds, Pea, Pulses, Soy, Wheat",,Meat & fish,"Beef, Chicken, Fish, Pork, Poultry, Seafood, Tuna"
Trofeas,"TROFEAS VEGAN company is a traditional workshop of handmade products. Our products are a range of products that do not contain raw materials of animal origin. Our traditional character and our love for the handmade product, pushes us in the search of fresh & quality raw materials so that the produced product is absolutely homemade. Our vision is to offer new dough products, of high nutritional value, friendly to the human body and with respect for life and the environment. Giving major importance to the aesthetics of taste, we work with passion in this direction ... CREATING!",vegan.trofeas.gr,Food and beverages,Greece,,End-consumer brands & products,Plant-based,,,"Meat & fish, Other",
Trattoria Alfredo,"Vegan Peynirler / Vegan Cheese. Artisan, Handmade in İstanbul. Türkiye’nin ilk Vegan peynir üreticisi",instagram.com,Food and beverages,Turkey,,End-consumer brands & products,Plant-based,,,"Cheese, Dairy",
Planteam,"Planteam strives to be one of the major leaders in the plant based food-growing sector.
Plant-Based Protein’s growing demand geared primarily by Flexitarians / Reducterians relies on many aspects such as morality, health, environmentalism, overpopulation, world hunger, survival, and food security.",planteam.tech,Food and beverages,Israel,2020,End-consumer brands & products,Plant-based,,Extrusion,"Bacon, Jerky, Meat & fish, Nuggets, Pate, Ready-to-eat meals & snacks, Salami, Tofu","Beef, Chicken, Fish, Pork, Poultry, Seafood, Shrimp"
Hargol FoodTech,"Hargol leads the alternative protein space globally as a producer of nutrient rich protein for humans from grasshoppers. Hargol is the first company in the world to reach industrial scale production of a protein ingredient from grasshoppers.
Hargol's technology enables year-round production of high and constant quality protein. This protein is already being produced in facilities capable of yielding 40M grasshoppers per year.
Hargol’s mission is to deliver a better alternative protein: Healthier for humans, healthier for the environment, in a safer and more efficient process.",hargol.com,"Dietary supplements and substitutes, Food and beverages, Other",Israel,2016,Ingredients & inputs,Fermentation,Other,"Crop development, Ingredient optimization","Beverages, Burger, Chocolate, Ice-cream and desserts, Minced/Ground meat, Other, Ready-to-eat meals & snacks, Sausage, Yogurt","Beef, Poultry"
Magic Valley,Growing meat without the animal.,magicvalley.com.au,Food and beverages,Australia,2020,End-consumer brands & products,Cultivated,,Cell line development,Minced/Ground meat,Lamb
Plantsquad,Nuestro objetivo fue crear productos plant-based que realmente le abrieran las puertas a cualquier persona que quisiera comer más saludable.,plantsquad.com.mx,Food and beverages,Mexico,2018,End-consumer brands & products,Plant-based,"Beans, Pea, Wheat",,"Burger, Meat & fish, Nuggets, Ready-to-eat meals & snacks, Sausage","Beef, Chicken, Pork, Seafood"
SARDA BIO POLYMERS,"Sarda Group is a third generation led Speciality Hydrocolloids, Plant Based Texturizers & Alternative Protein manufacturing organization. Based out of Mumbai, the company produces multiple products such as Hemp Protein Isolate, Refined Hemp Oil, Guar Protein , Tamarind Xyloglucan , Cassia Gum, Locust Bean Gum Replacement and others. Our customer base includes majorly Food & Beverage companies, Personal Care , Oil & Gas, Textiles & multiple other technial sectors.",sardabiopolymers.com,"Animal feed and pet food, Dietary supplements and substitutes, Food and beverages, Infant nutrition, Other",India,1968,Ingredients & inputs,Plant-based,"Hemp, Other, Texturized Vegetable Protein","Bioprocess design, Feedstocks, High moisture extrusion, Ingredient optimization, Low moisture extrusion","Bacon, Beverages, Burger, Cheese, Chocolate, Dairy, Deli, Eggs and egg products, Ice-cream and desserts, Meat & fish, Milk, Minced/Ground meat, Nuggets, Oils and fats, Other, Ready-to-eat meals & snacks, Sausage, Steak, Tofu, Yogurt","Beef, Chicken, Duck, Fish, Lamb, Pork, Salmon, Seafood"
The Green Dairy,"Welcome to the Green Dairy! As pioneers in liquid plant-based foods, we look at the entire chain of food production from sourcing to table to help our customers find new, tastier, healthier and more sustainable ways of making liquid plant-based food products.
We tailor recipes based on your requests and needs to make sure that you get the nutritional, sustainable and tasty balance you seek to generate plant-based cravings.",thegreendairy.com,Food and beverages,Sweden,2006,Contract manufacturing,Plant-based,"Coconut, Oat, Soy",,"Dairy, Ice-cream and desserts, Milk",
"Foodanza, Inc.","Foodanza supports the alternative protein companies in step by step scaling up manufacturing capacities, developing innovative new products and help companies in the international expansion.",foodanza.ch,Food and beverages,Switzerland,2021,"Contract manufacturing, Infrastructure & equipment","Cultivated, Fermentation, Plant-based",,,"Beverages, Eggs and egg products, Meat & fish","Beef, Fish, Poultry, Seafood"
SARDA BIO POLYMERS,"Sarda Group is a third generation led Speciality Hydrocolloids, Plant Based Texturizers & Alternative Protein manufacturing organization. Based out of Mumbai, the company produces multiple products such as Hemp Protein Isolate, Refined Hemp Oil, Guar Protein , Tamarind Xyloglucan , Cassia Gum, Locust Bean Gum Replacement and others. Our customer base includes majorly Food & Beverage companies, Personal Care , Oil & Gas, Textiles & multiple other technial sectors.",sardabiopolymers.com,"Animal feed and pet food, Dietary supplements and substitutes, Food and beverages, Infant nutrition, Other",India,1968,Ingredients & inputs,Plant-based,"Hemp, Other, Texturized Vegetable Protein","Bioprocess design, Feedstocks, High moisture extrusion, Ingredient optimization, Low moisture extrusion","Bacon, Beverages, Burger, Cheese, Chocolate, Dairy, Deli, Eggs and egg products, Ice-cream and desserts, Meat & fish, Milk, Minced/Ground meat, Nuggets, Oils and fats, Other, Ready-to-eat meals & snacks, Sausage, Steak, Tofu, Yogurt","Beef, Chicken, Duck, Fish, Lamb, Pork, Salmon, Seafood"
